index,Input,Sentiment,anger,fear,joy,love,sadness,surprise,connotation
1536,i feel like im still just caught in the rat race living a morally acceptable life without actually doing anything to serve you or live from a fire consuming heart,joy,0,0,1,0,0,0,1
1069,i will choose not to focus on him instead focusing on how i feel i will try not to focus on him and instead of being agitated by him i will choose to let the negative feeling go,fear,0,1,0,0,0,0,0
12458,i wish i could say that i got a feeling that everything is going to be perfect and painless but i didnt,joy,0,0,1,0,0,0,1
522,i have reported feeling marginalized intimidated and or subjected to threats of retaliation,fear,0,1,0,0,0,0,0
9896,i actually feel inside which is so dangerous because apart from my shoulder i feel really amazing,anger,1,0,0,0,0,0,0
8276,ive been feeling very lethargic with the fact that i worked till plus on days that i need to pay back the hours for my lessons days and sleeping at plus every night ever since the beginning of this week,sadness,0,0,0,0,1,0,0
10160,i feel disappointed and want to tear up some paper and throw it across the room and write a giant letter of why things are unfair i just think of perspective,sadness,0,0,0,0,1,0,0
13806,i really feel quite honoured to represent my country,joy,0,0,1,0,0,0,1
4156,i came away filled with admiration inspired by amy s friends feeling honoured to have been there to share a tiny part of their lives,joy,0,0,1,0,0,0,1
11221,i am left feeling rejected judged and deemed inadequate,sadness,0,0,0,0,1,0,0
1492,i was failing to perform my expected duties and worrying about things i may have forgotten yesterday when i was starting to feel rather crappy,sadness,0,0,0,0,1,0,0
7830,when i hooked a girl in kitwe she was very beautiful for my standards,joy,0,0,1,0,0,0,1
1284,i feel suffocated yet charmed my brain pauses logic,joy,0,0,1,0,0,0,1
15784,i get the added bonus of feeling superior and healthy because of everything weve been hearing lately about a href http apps,joy,0,0,1,0,0,0,1
3606,i don t feel that my society has accepted me whole heartedly,love,0,0,0,1,0,0,1
4815,i cant help how i feel aside with a few like dick hobbs and rebecca mcpherson im not exactly a popular guy at school,joy,0,0,1,0,0,0,1
11472,i was feeling this really weird sense of isolation that would have creeped me out pretty bad if i was alone,surprise,0,0,0,0,0,1,1
8301,i havent hopped on one yet but i definitely will and speaking of cardio exercise i was feeling all kinds of superior after a href http emilyhursh,joy,0,0,1,0,0,0,1
15181,i understand that you re feeling anxious,fear,0,1,0,0,0,0,0
3710,im not feeling too keen on that,joy,0,0,1,0,0,0,1
15146,i really started to feel that the ica was an association worth supporting and maybe something that id enjoy being a part of,love,0,0,0,1,0,0,1
10992,i am going to print this and refer to it as often as i can so that when i feel things which arent so pleasant i can remember that now is the only moment i have to live in so make the most of it,joy,0,0,1,0,0,0,1
15,i never stop feeling thankful as to compare with others i considered myself lucky because i did not encounter ruthless pirates and i did not have to witness the slaughter of others,joy,0,0,1,0,0,0,1
10655,i feel so pained by a situation or circumstance or i become so frustrated by something that is so out of my control and completely unacceptable that instead of looking like a crazy person running around cursing and screaming i throw a tantrum in my mind,sadness,0,0,0,0,1,0,0
4078,i feel weird,surprise,0,0,0,0,0,1,1
2337,i will remember you as someone who i could feel so comfortable around,joy,0,0,1,0,0,0,1
4850,i went but i did feel shaky,fear,0,1,0,0,0,0,0
15191,im feeling pretty good now and ignoring the fact that ill probably feel worse before i feel better a href https lh,joy,0,0,1,0,0,0,1
484,i feel extremely intimidated,fear,0,1,0,0,0,0,0
4358,ive definitely been feeling low this past week because ive been sick ever since bfd but im determined to get my health back,sadness,0,0,0,0,1,0,0
13192,i don t feel frustrated anymore from the fierce us media campaign against egypt because the more they attack us the more we know that we are on the right track,anger,1,0,0,0,0,0,0
468,i had to have a blood test yesterday so perhaps im feeling particularly fond of it right now because of the doctors needle that was inside of me and the time spent with the dizzy head of a non meat eating nineteen year old female,love,0,0,0,1,0,0,1
12433,i feel like buy to play is the most accepted model by consumers at large,love,0,0,0,1,0,0,1
9763,i can flirt along with the best of em and i rarely if ever feel intimidated by male identifying folks or the idea of striking up a conversation with them regardless of how hopelessly attracted i am to them,fear,0,1,0,0,0,0,0
196,i wrote two years ago so many things i feel unsure of maybe,fear,0,1,0,0,0,0,0
1705,i feel an overwhleming desire to say something completley moronic like hope your new year is a kick,sadness,0,0,0,0,1,0,0
9324,i feel more valuable today doing what i am doing than i ever have before,joy,0,0,1,0,0,0,1
14967,i feel really pretty with this makeup haha,joy,0,0,1,0,0,0,1
7623,i was intensely conscious of how much cash i had left in my gas and food envelope and i still have what i intended to save for next week which helps me not feel so stressed and scared,sadness,0,0,0,0,1,0,0
1306,i flung into my suitcase at the last minute didn t break on the crossing over or explode in the pressurized cabin so thus far i m feeling pretty splendid about things,joy,0,0,1,0,0,0,1
7557,i feel so clever recent comments a href http www,joy,0,0,1,0,0,0,1
11344,i am feeling peaceful yet determined as i listen to the slight humming noise of the ceiling fan,joy,0,0,1,0,0,0,1
4291,i feel reluctant to share because my experiences feel incomplete especially now that my ideas are making a shift,fear,0,1,0,0,0,0,0
10259,i had to do was heal they said and i was feeling pretty hopeful about that,joy,0,0,1,0,0,0,1
14152,i cant give you all what i wanted to and i feel it in my aching heart my sweaty palms and my sleep deprived addled brain,sadness,0,0,0,0,1,0,0
322,i was living with when i first started coming to the gatherings on sunday mornings i feel quite fearless now,joy,0,0,1,0,0,0,1
8005,i dont want to talk to anyone because it was such a dumb mistake and i feel so miserable already that i dont think i could take someone giving me one of those are you serious,sadness,0,0,0,0,1,0,0
2009,i feel tortured a href http lawrencewashington,anger,1,0,0,0,0,0,0
6,ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,surprise,0,0,0,0,0,1,1
12436,i see myself behave in relation to feeling positive or negative and the way others perceive me within doing so,joy,0,0,1,0,0,0,1
14324,i dunno how else to describe how great i feel i swear ive been giggly all day,joy,0,0,1,0,0,0,1
1229,i feel i m handling it well and i m enjoying it he said,joy,0,0,1,0,0,0,1
13367,i love female vocalists though admit to feeling slightly embarassed of the femininely romantic theme of this piece,love,0,0,0,1,0,0,1
902,i heard that he still has feelings for me i make him horny and i believe he even made mention of hooking up but it wouldn t be fair to insert her here,love,0,0,0,1,0,0,1
1167,i just found out that my gut feeling unpleasant though it was was correct,sadness,0,0,0,0,1,0,0
12510,i look at him i feel disgusted and some what annoyed by his actions,anger,1,0,0,0,0,0,0
5195,im still feeling a little hesitant but plunging in with a multitude of colored pencils nonetheless,fear,0,1,0,0,0,0,0
9897,i also know that if i forget for a period of time it would cause tension or a feeling of unease that maybe i am mad at him,anger,1,0,0,0,0,0,0
725,i can be mettaful and be feeling crappy,sadness,0,0,0,0,1,0,0
4570,i didnt feel so stupid then but a still little bit ignorant compared with the native african healers who have been using this for over a century,sadness,0,0,0,0,1,0,0
7983,i feel really fucked up still,anger,1,0,0,0,0,0,0
7191,i can feel it in my aching bones,sadness,0,0,0,0,1,0,0
9677,i started feeling like i was being paranoid since it kept happening,fear,0,1,0,0,0,0,0
6670,i am feeling rushed or overwhelmed to have the perfect house that my brain explodes and all proper decision making skills get lost in the debris,anger,1,0,0,0,0,0,0
165,i am just feeling overwhelmed and there is nothing i can do to fix it,surprise,0,0,0,0,0,1,1
855,i have faith in supreme power and i accept everything and all incidence occuring in life sometimes like today it really makes me feel very very dull and i start crying,sadness,0,0,0,0,1,0,0
12736,im feeling enraged at another persons actions i have to consider what i was thinking about in the moments prior to the incident,anger,1,0,0,0,0,0,0
1401,i understand the logic of having a student congress but i cant help but feel thats its really really really boring,sadness,0,0,0,0,1,0,0
1522,i didnt want to feel any pain an hour later they decided to start that up and shortly after that they broke my water,sadness,0,0,0,0,1,0,0
487,i know that i m going to get my dark chocolate every day and not feel deprived,sadness,0,0,0,0,1,0,0
5581,i feeling so shitty today then,sadness,0,0,0,0,1,0,0
13300,i am grateful to have a strong support system both internally and externally that i can rely on when i am feeling uncertain and weak,fear,0,1,0,0,0,0,0
11149,i feel so grounded delighted in a good mood and filled with a positive energy,joy,0,0,1,0,0,0,1
6970,i feel like i have been learning through the job transition and now through this ordeal is how precious it is when someone asks or cares about what we are going through,joy,0,0,1,0,0,0,1
3595,im looking good and feeling good other than this crappy cold im dealing with,joy,0,0,1,0,0,0,1
12708,i feel will be amused as well,joy,0,0,1,0,0,0,1
243,i have also learned it takes a lot of effort and positive thinking for me not to break down in tears over feeling exhausted and guilty for not being a better mom,sadness,0,0,0,0,1,0,0
2780,i was feeling very defeated and like i just couldnt continue so i reluctantly asked for an epidural,sadness,0,0,0,0,1,0,0
